,Scenario,Trial,Inspection,Interval,Time,Accumulation,Defects,Rate
0,202,1,1,4,4,45,26,40
1,202,1,2,2,6,41,41,20
2,202,1,3,5,11,41,17,50
3,202,1,4,2,13,47,47,20
4,202,1,5,2,15,17,17,20
5,202,1,6,3,18,31,31,30
6,202,1,7,9,27,84,84,90
7,202,1,8,4,31,31,17,40
8,202,1,9,5,36,53,53,50
9,202,1,10,2,38,20,20,20
10,202,1,11,2,40,22,22,20
11,202,1,12,8,48,78,54,80
12,202,1,13,5,53,74,48,50
13,202,1,14,6,59,91,91,60
14,202,1,15,4,63,30,17,40
15,202,1,16,5,68,64,64,50
16,202,1,17,6,74,62,62,60
17,202,1,18,9,83,90,90,90
18,202,1,19,8,91,75,36,80
19,202,1,20,2,93,61,40,20
20,202,1,21,6,99,84,84,60
21,202,1,22,5,104,51,51,50
22,202,1,23,6,110,62,39,60
23,202,1,24,7,117,89,89,70
24,202,1,25,8,125,93,56,80
25,202,1,26,7,132,109,74,70
26,202,1,27,9,141,119,73,90
27,202,1,28,5,146,105,56,50
28,202,1,29,2,148,69,69,20
29,202,1,30,8,156,97,58,80
30,202,1,31,2,158,58,36,20
31,202,1,32,5,163,64,40,50
32,202,1,33,8,171,101,101,80
33,202,1,34,9,180,98,98,90
34,202,1,35,3,183,39,22,30
35,202,1,36,7,190,104,68,70
36,202,1,37,6,196,90,90,60
37,202,1,38,4,200,37,24,40
38,202,1,39,7,207,80,80,70
39,202,1,40,3,210,29,18,30
40,202,1,41,9,219,106,106,90
41,202,1,42,6,225,67,67,60
42,202,1,43,3,228,27,27,30
43,202,1,44,6,234,67,67,60
44,202,1,45,8,242,80,80,80
45,202,1,46,7,249,70,70,70
46,202,1,47,4,253,33,33,40
47,202,1,48,9,262,93,53,90
48,202,1,49,6,268,104,104,60
49,202,1,50,6,274,64,64,60
50,202,1,51,8,282,97,57,80
51,202,1,52,9,291,134,134,90
52,202,1,53,7,298,77,77,70
53,202,1,54,7,305,69,69,70
54,202,1,55,2,307,28,28,20
55,202,1,56,9,316,88,88,90
56,202,1,57,7,323,60,35,70
57,202,1,58,2,325,44,26,20
58,202,1,59,8,333,116,66,80
59,202,1,60,5,338,107,107,50
60,202,1,61,8,346,70,70,80
61,202,1,62,9,355,98,98,90
62,202,1,63,9,364,108,108,90
63,202,1,64,4,368,36,36,40
64,202,1,65,4,372,41,41,40
65,202,1,66,7,379,61,34,70
66,202,1,67,8,387,106,59,80
67,202,1,68,7,394,135,135,70
68,202,1,69,2,396,19,19,20
69,202,1,70,8,404,78,78,80
70,202,1,71,5,409,49,29,50
71,202,1,72,7,416,93,58,70
72,202,1,73,6,422,87,87,60
73,202,1,74,5,427,45,45,50
74,202,1,75,5,432,54,32,50
75,202,1,76,4,436,62,62,40
76,202,1,77,6,442,52,26,60
77,202,1,78,2,444,52,24,20
78,202,1,79,8,452,103,103,80
79,202,1,80,2,454,25,13,20
80,202,1,81,4,458,64,64,40
81,202,1,82,4,462,53,37,40
82,202,1,83,4,466,59,59,40
83,202,1,84,8,474,90,90,80
84,202,1,85,9,483,110,68,90
85,202,1,86,5,488,88,48,50
86,202,1,87,6,494,107,107,60
87,202,1,88,7,501,75,45,70
88,202,1,89,8,509,127,127,80
89,202,1,90,4,513,43,43,40
90,202,1,91,6,519,77,77,60
91,202,1,92,7,526,67,67,70
92,202,1,93,5,531,45,45,50
93,202,1,94,2,533,18,18,20
94,202,1,95,2,535,19,19,20
95,202,1,96,9,544,79,79,90
96,202,1,97,2,546,13,13,20
97,202,1,98,8,554,88,88,80
98,202,1,99,2,556,24,24,20
99,202,1,100,5,561,53,53,50
100,202,1,101,6,567,54,54,60
101,202,1,102,6,573,50,50,60
102,202,1,103,6,579,58,38,60
103,202,1,104,5,584,72,46,50
104,202,1,105,3,587,55,31,30
105,202,1,106,6,593,98,98,60
106,202,1,107,4,597,43,24,40
107,202,1,108,9,606,98,66,90
108,202,1,109,5,611,86,53,50
109,202,1,110,7,618,109,109,70
110,202,1,111,6,624,62,62,60
111,202,1,112,8,632,81,49,80
112,202,1,113,2,634,50,50,20
113,202,1,114,5,639,50,50,50
114,202,1,115,9,648,87,87,90
115,202,1,116,7,655,73,46,70
116,202,1,117,2,657,51,27,20
117,202,1,118,2,659,51,26,20
118,202,1,119,5,664,66,42,50
119,202,1,120,7,671,93,93,70
120,202,1,121,9,680,80,80,90
121,202,1,122,4,684,35,35,40
122,202,1,123,4,688,43,43,40
123,202,1,124,9,697,79,79,90
124,202,1,125,2,699,27,18,20
125,202,1,126,6,705,58,32,60
126,202,1,127,9,714,140,79,90
127,202,1,128,2,716,81,81,20
128,202,1,129,3,719,36,36,30
129,202,1,130,2,721,19,19,20
130,202,1,131,7,728,78,54,70
131,202,1,132,5,733,68,38,50
132,202,1,133,9,742,109,109,90
133,202,1,134,7,749,84,84,70
134,202,1,135,6,755,66,66,60
135,202,1,136,5,760,40,40,50
136,202,1,137,6,766,59,59,60
137,202,1,138,8,774,68,68,80
138,202,1,139,4,778,40,19,40
139,202,1,140,6,784,84,84,60
140,202,1,141,9,793,108,108,90
141,202,1,142,2,795,16,16,20
142,202,1,143,9,804,95,95,90
143,202,1,144,4,808,31,17,40
144,202,1,145,8,816,90,90,80
145,202,1,146,6,822,69,47,60
146,202,1,147,7,829,100,100,70
