,Scenario,Trial,Inspection,Interval,Time,Accumulation,Defects,Rate
0,197,1,1,5,5,62,21,50
1,197,1,2,3,8,72,72,30
2,197,1,3,6,14,41,41,60
3,197,1,4,7,21,64,64,70
4,197,1,5,5,26,52,52,50
5,197,1,6,8,34,85,85,80
6,197,1,7,3,37,24,6,30
7,197,1,8,6,43,81,81,60
8,197,1,9,9,52,74,74,90
9,197,1,10,9,61,77,77,90
10,197,1,11,8,69,82,82,80
11,197,1,12,7,76,49,20,70
12,197,1,13,6,82,94,94,60
13,197,1,14,5,87,44,44,50
14,197,1,15,5,92,54,19,50
15,197,1,16,5,97,83,83,50
16,197,1,17,4,101,32,9,40
17,197,1,18,7,108,95,28,70
18,197,1,19,8,116,148,148,80
19,197,1,20,9,125,99,99,90
20,197,1,21,4,129,36,13,40
21,197,1,22,4,133,49,49,40
22,197,1,23,5,138,46,18,50
23,197,1,24,2,140,51,17,20
24,197,1,25,8,148,105,105,80
25,197,1,26,3,151,30,30,30
26,197,1,27,4,155,43,43,40
27,197,1,28,3,158,22,7,30
28,197,1,29,7,165,73,31,70
29,197,1,30,5,170,95,95,50
30,197,1,31,8,178,81,81,80
31,197,1,32,7,185,88,88,70
32,197,1,33,8,193,79,24,80
33,197,1,34,7,200,121,121,70
34,197,1,35,7,207,64,64,70
35,197,1,36,6,213,63,21,60
36,197,1,37,4,217,77,27,40
37,197,1,38,5,222,104,35,50
38,197,1,39,7,229,144,52,70
39,197,1,40,8,237,182,182,80
40,197,1,41,4,241,41,17,40
41,197,1,42,6,247,76,28,60
42,197,1,43,3,250,85,85,30
43,197,1,44,6,256,73,29,60
44,197,1,45,8,264,130,50,80
45,197,1,46,3,267,114,41,30
46,197,1,47,4,271,112,112,40
47,197,1,48,3,274,24,12,30
48,197,1,49,5,279,61,29,50
49,197,1,50,3,282,64,64,30
50,197,1,51,6,288,58,21,60
51,197,1,52,3,291,67,67,30
52,197,1,53,6,297,80,80,60
53,197,1,54,3,300,24,6,30
54,197,1,55,5,305,67,23,50
55,197,1,56,2,307,67,25,20
56,197,1,57,3,310,72,72,30
57,197,1,58,5,315,49,16,50
58,197,1,59,4,319,74,24,40
59,197,1,60,8,327,118,118,80
60,197,1,61,9,336,88,88,90
61,197,1,62,3,339,29,10,30
62,197,1,63,7,346,90,39,70
63,197,1,64,7,353,119,119,70
64,197,1,65,7,360,73,24,70
65,197,1,66,6,366,100,100,60
66,197,1,67,4,370,51,51,40
67,197,1,68,2,372,21,21,20
68,197,1,69,6,378,59,59,60
69,197,1,70,3,381,32,14,30
70,197,1,71,7,388,96,35,70
71,197,1,72,2,390,81,81,20
72,197,1,73,7,397,63,63,70
73,197,1,74,8,405,81,81,80
74,197,1,75,6,411,54,15,60
75,197,1,76,4,415,77,27,40
76,197,1,77,6,421,120,120,60
77,197,1,78,9,430,89,89,90
78,197,1,79,5,435,54,54,50
79,197,1,80,4,439,49,25,40
80,197,1,81,8,447,117,117,80
81,197,1,82,6,453,59,19,60
82,197,1,83,9,462,163,62,90
83,197,1,84,6,468,166,166,60
84,197,1,85,8,476,72,27,80
85,197,1,86,3,479,67,21,30
86,197,1,87,4,483,83,83,40
87,197,1,88,6,489,52,25,60
88,197,1,89,3,492,58,17,30
89,197,1,90,3,495,66,66,30
90,197,1,91,8,503,94,94,80
91,197,1,92,8,511,82,32,80
92,197,1,93,4,515,83,83,40
93,197,1,94,3,518,24,24,30
94,197,1,95,2,520,19,6,20
95,197,1,96,6,526,83,35,60
96,197,1,97,3,529,78,78,30
97,197,1,98,2,531,25,25,20
98,197,1,99,7,538,69,69,70
99,197,1,100,9,547,85,85,90
100,197,1,101,5,552,45,45,50
101,197,1,102,8,560,87,27,80
102,197,1,103,2,562,75,75,20
103,197,1,104,8,570,73,21,80
104,197,1,105,9,579,138,45,90
105,197,1,106,8,587,178,60,80
106,197,1,107,2,589,141,141,20
107,197,1,108,9,598,79,29,90
108,197,1,109,9,607,146,54,90
109,197,1,110,4,611,134,38,40
110,197,1,111,4,615,136,40,40
111,197,1,112,9,624,176,176,90
112,197,1,113,4,628,34,34,40
113,197,1,114,2,630,17,17,20
114,197,1,115,5,635,57,57,50
115,197,1,116,8,643,74,74,80
116,197,1,117,3,646,36,16,30
117,197,1,118,7,653,97,30,70
118,197,1,119,3,656,93,93,30
119,197,1,120,8,664,86,25,80
120,197,1,121,5,669,118,118,50
121,197,1,122,4,673,36,36,40
122,197,1,123,8,681,73,27,80
123,197,1,124,4,685,86,86,40
124,197,1,125,8,693,80,80,80
125,197,1,126,3,696,29,29,30
126,197,1,127,9,705,89,89,90
127,197,1,128,2,707,19,19,20
128,197,1,129,3,710,33,13,30
129,197,1,130,2,712,39,39,20
130,197,1,131,2,714,29,29,20
131,197,1,132,7,721,71,71,70
132,197,1,133,5,726,49,49,50
133,197,1,134,6,732,64,21,60
134,197,1,135,9,741,144,50,90
135,197,1,136,5,746,146,146,50
136,197,1,137,3,749,29,29,30
137,197,1,138,7,756,86,29,70
138,197,1,139,2,758,73,73,20
139,197,1,140,5,763,42,13,50
140,197,1,141,8,771,116,116,80
141,197,1,142,7,778,76,18,70
142,197,1,143,7,785,124,47,70
143,197,1,144,3,788,99,99,30
144,197,1,145,3,791,24,10,30
145,197,1,146,4,795,54,54,40
146,197,1,147,3,798,34,11,30
147,197,1,148,3,801,55,55,30
148,197,1,149,9,810,88,88,90
149,197,1,150,6,816,52,52,60
150,197,1,151,7,823,84,84,70
151,197,1,152,2,825,19,19,20
152,197,1,153,7,832,61,61,70
153,197,1,154,6,838,70,70,60
154,197,1,155,9,847,113,37,90
155,197,1,156,4,851,129,129,40
156,197,1,157,4,855,50,12,40
157,197,1,158,8,863,120,120,80
158,197,1,159,9,872,87,29,90
159,197,1,160,4,876,85,28,40
160,197,1,161,5,881,118,38,50
161,197,1,162,4,885,116,116,40
162,197,1,163,7,892,71,71,70
163,197,1,164,9,901,85,33,90
164,197,1,165,7,908,112,112,70
165,197,1,166,5,913,47,47,50
166,197,1,167,5,918,55,18,50
167,197,1,168,6,924,112,36,60
168,197,1,169,3,927,121,121,30
169,197,1,170,2,929,13,5,20
170,197,1,171,4,933,49,49,40
171,197,1,172,2,935,22,22,20
172,197,1,173,5,940,52,19,50
173,197,1,174,7,947,114,46,70
174,197,1,175,3,950,105,39,30
175,197,1,176,3,953,96,96,30
176,197,1,177,6,959,80,80,60
177,197,1,178,3,962,26,14,30
178,197,1,179,6,968,69,69,60
179,197,1,180,7,975,76,26,70
180,197,1,181,8,983,126,126,80
181,197,1,182,9,992,107,107,90
182,197,1,183,3,995,31,12,30
183,197,1,184,6,1001,78,78,60
184,197,1,185,6,1007,59,17,60
185,197,1,186,9,1016,127,127,90
186,197,1,187,2,1018,21,21,20
187,197,1,188,5,1023,54,54,50
188,197,1,189,5,1028,51,51,50
189,197,1,190,9,1037,93,93,90
190,197,1,191,9,1046,91,91,90
191,197,1,192,2,1048,23,23,20
192,197,1,193,3,1051,30,7,30
193,197,1,194,9,1060,133,133,90
194,197,1,195,5,1065,52,52,50
195,197,1,196,6,1071,54,17,60
196,197,1,197,6,1077,99,99,60
197,197,1,198,2,1079,19,3,20
198,197,1,199,2,1081,41,20,20
199,197,1,200,7,1088,89,89,70
200,197,1,201,3,1091,31,31,30
201,197,1,202,9,1100,81,30,90
202,197,1,203,2,1102,65,65,20
203,197,1,204,5,1107,50,21,50
204,197,1,205,3,1110,59,25,30
205,197,1,206,7,1117,119,38,70
206,197,1,207,3,1120,106,106,30
207,197,1,208,5,1125,50,16,50
208,197,1,209,4,1129,74,25,40
209,197,1,210,9,1138,153,52,90
210,197,1,211,3,1141,139,139,30
211,197,1,212,3,1144,30,30,30
212,197,1,213,7,1151,81,81,70
213,197,1,214,7,1158,62,62,70
214,197,1,215,6,1164,74,28,60
215,197,1,216,7,1171,114,114,70
216,197,1,217,9,1180,93,34,90
217,197,1,218,5,1185,110,39,50
218,197,1,219,8,1193,160,160,80
219,197,1,220,3,1196,35,14,30
220,197,1,221,6,1202,83,83,60
221,197,1,222,3,1205,33,33,30
222,197,1,223,8,1213,84,84,80
223,197,1,224,8,1221,90,29,80
224,197,1,225,9,1230,143,50,90
225,197,1,226,2,1232,109,43,20
226,197,1,227,7,1239,143,143,70
227,197,1,228,8,1247,87,35,80
