,Scenario,Trial,Inspection,Interval,Time,Accumulation,Defects,Rate
0,13,1,1,2,2,17,17,20
1,13,1,2,9,11,77,51,90
2,13,1,3,7,18,96,65,70
3,13,1,4,5,23,86,57,50
4,13,1,5,6,29,87,53,60
5,13,1,6,8,37,122,76,80
6,13,1,7,6,43,96,54,60
7,13,1,8,7,50,111,73,70
8,13,1,9,9,59,137,94,90
9,13,1,10,7,66,112,78,70
10,13,1,11,3,69,74,48,30
11,13,1,12,3,72,57,36,30
12,13,1,13,7,79,103,66,70
13,13,1,14,3,82,72,49,30
14,13,1,15,6,88,78,55,60
15,13,1,16,8,96,107,107,80
16,13,1,17,2,98,29,19,20
17,13,1,18,5,103,51,31,50
18,13,1,19,7,110,96,54,70
19,13,1,20,6,116,92,66,60
20,13,1,21,4,120,67,41,40
21,13,1,22,2,122,50,32,20
22,13,1,23,2,124,43,35,20
23,13,1,24,2,126,33,22,20
24,13,1,25,6,132,67,38,60
25,13,1,26,2,134,50,30,20
26,13,1,27,4,138,67,43,40
27,13,1,28,7,145,96,66,70
28,13,1,29,9,154,125,80,90
29,13,1,30,9,163,143,90,90
30,13,1,31,3,166,80,44,30
31,13,1,32,5,171,90,56,50
32,13,1,33,3,174,66,40,30
33,13,1,34,5,179,74,37,50
34,13,1,35,3,182,67,45,30
35,13,1,36,7,189,93,65,70
36,13,1,37,3,192,56,38,30
37,13,1,38,5,197,58,38,50
38,13,1,39,3,200,54,35,30
39,13,1,40,4,204,60,37,40
40,13,1,41,7,211,108,73,70
41,13,1,42,3,214,64,47,30
42,13,1,43,4,218,51,40,40
43,13,1,44,4,222,56,37,40
44,13,1,45,9,231,110,72,90
45,13,1,46,2,233,56,30,20
46,13,1,47,6,239,96,68,60
47,13,1,48,8,247,94,59,80
48,13,1,49,5,252,78,53,50
49,13,1,50,8,260,94,56,80
50,13,1,51,9,269,131,80,90
51,13,1,52,5,274,94,69,50
52,13,1,53,4,278,61,61,40
53,13,1,54,7,285,92,61,70
54,13,1,55,7,292,102,68,70
55,13,1,56,8,300,137,93,80
56,13,1,57,5,305,83,53,50
57,13,1,58,4,309,71,52,40
58,13,1,59,8,317,97,59,80
59,13,1,60,3,320,66,43,30
60,13,1,61,7,327,89,61,70
61,13,1,62,8,335,89,57,80
62,13,1,63,7,342,85,59,70
63,13,1,64,7,349,91,62,70
64,13,1,65,5,354,73,49,50
65,13,1,66,5,359,94,67,50
66,13,1,67,9,368,128,83,90
67,13,1,68,3,371,68,50,30
68,13,1,69,9,380,110,110,90
69,13,1,70,9,389,93,66,90
70,13,1,71,4,393,57,57,40
71,13,1,72,5,398,44,30,50
72,13,1,73,9,407,107,64,90
73,13,1,74,3,410,72,46,30
74,13,1,75,7,417,104,71,70
75,13,1,76,8,425,97,59,80
76,13,1,77,8,433,116,77,80
77,13,1,78,6,439,104,67,60
78,13,1,79,3,442,75,50,30
79,13,1,80,9,451,111,72,90
80,13,1,81,9,460,127,68,90
81,13,1,82,2,462,67,67,20
82,13,1,83,6,468,67,40,60
83,13,1,84,7,475,94,60,70
