,Scenario,Trial,Inspection,Interval,Time,Accumulation,Defects,Rate
0,126,1,1,8,8,68,68,80
1,126,1,2,6,14,46,30,60
2,126,1,3,6,20,80,54,60
3,126,1,4,8,28,108,62,80
4,126,1,5,6,34,114,67,60
5,126,1,6,7,41,122,70,70
6,126,1,7,9,50,151,85,90
7,126,1,8,9,59,150,99,90
8,126,1,9,9,68,140,80,90
9,126,1,10,8,76,144,93,80
10,126,1,11,8,84,109,65,80
11,126,1,12,2,86,59,59,20
12,126,1,13,2,88,21,21,20
13,126,1,14,3,91,31,14,30
14,126,1,15,9,100,130,78,90
15,126,1,16,6,106,126,126,60
16,126,1,17,9,115,95,62,90
17,126,1,18,3,118,62,62,30
18,126,1,19,5,123,47,28,50
19,126,1,20,4,127,55,35,40
20,126,1,21,9,136,114,114,90
21,126,1,22,6,142,51,51,60
22,126,1,23,3,145,33,17,30
23,126,1,24,2,147,35,35,20
24,126,1,25,5,152,39,39,50
25,126,1,26,4,156,40,26,40
26,126,1,27,3,159,34,20,30
27,126,1,28,6,165,82,44,60
28,126,1,29,5,170,82,82,50
29,126,1,30,7,177,57,36,70
30,126,1,31,7,184,79,47,70
31,126,1,32,8,192,111,72,80
32,126,1,33,9,201,132,132,90
33,126,1,34,2,203,20,14,20
34,126,1,35,4,207,49,49,40
35,126,1,36,8,215,80,80,80
36,126,1,37,7,222,73,42,70
37,126,1,38,6,228,87,87,60
38,126,1,39,9,237,88,54,90
39,126,1,40,6,243,91,48,60
40,126,1,41,3,246,67,67,30
41,126,1,42,5,251,50,30,50
42,126,1,43,4,255,66,38,40
43,126,1,44,6,261,99,62,60
44,126,1,45,2,263,59,35,20
45,126,1,46,3,266,56,32,30
46,126,1,47,4,270,58,40,40
47,126,1,48,5,275,73,73,50
48,126,1,49,3,278,24,24,30
49,126,1,50,2,280,28,15,20
50,126,1,51,7,287,91,91,70
51,126,1,52,5,292,64,37,50
52,126,1,53,6,298,86,86,60
53,126,1,54,3,301,21,14,30
54,126,1,55,7,308,85,85,70
55,126,1,56,4,312,39,39,40
56,126,1,57,9,321,91,91,90
57,126,1,58,3,324,23,23,30
58,126,1,59,4,328,33,17,40
59,126,1,60,4,332,59,59,40
60,126,1,61,6,338,59,34,60
61,126,1,62,8,346,108,57,80
62,126,1,63,8,354,125,74,80
63,126,1,64,5,359,109,109,50
64,126,1,65,9,368,93,53,90
