,Scenario,Trial,Inspection,Interval,Time,Accumulation,Defects,Rate
0,360,1,1,6,6,5,5,60
1,360,1,2,3,9,1,1,30
2,360,1,3,5,14,5,5,50
3,360,1,4,8,22,6,6,80
4,360,1,5,7,29,6,6,70
5,360,1,6,5,34,3,3,50
6,360,1,7,2,36,2,2,20
7,360,1,8,5,41,2,2,50
8,360,1,9,5,46,6,6,50
9,360,1,10,6,52,3,3,60
10,360,1,11,6,58,3,3,60
11,360,1,12,9,67,6,6,90
12,360,1,13,3,70,1,1,30
13,360,1,14,6,76,3,3,60
14,360,1,15,6,82,4,3,60
15,360,1,16,2,84,3,3,20
16,360,1,17,4,88,1,1,40
17,360,1,18,2,90,0,0,20
18,360,1,19,6,96,4,4,60
19,360,1,20,8,104,8,8,80
20,360,1,21,8,112,2,2,80
21,360,1,22,8,120,5,5,80
22,360,1,23,5,125,1,1,50
23,360,1,24,4,129,2,2,40
24,360,1,25,8,137,1,0,80
25,360,1,26,7,144,7,7,70
26,360,1,27,8,152,3,3,80
27,360,1,28,8,160,5,5,80
28,360,1,29,7,167,7,7,70
29,360,1,30,7,174,2,2,70
30,360,1,31,5,179,0,0,50
31,360,1,32,6,185,4,4,60
32,360,1,33,7,192,1,1,70
33,360,1,34,6,198,2,1,60
34,360,1,35,2,200,3,3,20
35,360,1,36,8,208,3,3,80
36,360,1,37,5,213,4,4,50
37,360,1,38,7,220,2,2,70
38,360,1,39,2,222,0,0,20
39,360,1,40,8,230,6,6,80
40,360,1,41,5,235,2,2,50
41,360,1,42,9,244,4,4,90
42,360,1,43,2,246,3,3,20
43,360,1,44,6,252,1,1,60
44,360,1,45,8,260,3,3,80
45,360,1,46,3,263,0,0,30
46,360,1,47,7,270,0,0,70
47,360,1,48,5,275,5,5,50
48,360,1,49,5,280,0,0,50
49,360,1,50,7,287,2,1,70
50,360,1,51,9,296,9,9,90
51,360,1,52,7,303,4,4,70
52,360,1,53,5,308,4,4,50
53,360,1,54,3,311,2,2,30
54,360,1,55,4,315,0,0,40
55,360,1,56,9,324,4,4,90
56,360,1,57,8,332,3,3,80
57,360,1,58,8,340,2,2,80
58,360,1,59,5,345,3,2,50
59,360,1,60,2,347,4,4,20
60,360,1,61,7,354,2,2,70
61,360,1,62,6,360,1,0,60
62,360,1,63,7,367,4,4,70
63,360,1,64,6,373,7,7,60
64,360,1,65,6,379,5,5,60
65,360,1,66,8,387,5,5,80
66,360,1,67,4,391,1,1,40
67,360,1,68,5,396,1,1,50
68,360,1,69,4,400,3,3,40
69,360,1,70,3,403,1,1,30
70,360,1,71,6,409,3,3,60
71,360,1,72,7,416,3,3,70
72,360,1,73,6,422,2,2,60
73,360,1,74,6,428,3,3,60
74,360,1,75,3,431,2,1,30
75,360,1,76,3,434,1,1,30
76,360,1,77,4,438,1,1,40
77,360,1,78,3,441,3,3,30
78,360,1,79,2,443,0,0,20
79,360,1,80,5,448,5,5,50
80,360,1,81,5,453,3,3,50
81,360,1,82,3,456,1,1,30
82,360,1,83,3,459,1,1,30
83,360,1,84,8,467,1,1,80
84,360,1,85,2,469,2,2,20
85,360,1,86,3,472,3,3,30
86,360,1,87,3,475,3,3,30
87,360,1,88,2,477,2,2,20
88,360,1,89,8,485,4,4,80
89,360,1,90,9,494,2,2,90
90,360,1,91,7,501,5,5,70
91,360,1,92,3,504,5,5,30
92,360,1,93,2,506,3,3,20
93,360,1,94,6,512,5,5,60
94,360,1,95,9,521,5,5,90
95,360,1,96,3,524,1,1,30
96,360,1,97,9,533,5,5,90
97,360,1,98,3,536,1,1,30
98,360,1,99,2,538,0,0,20
99,360,1,100,9,547,8,8,90
100,360,1,101,3,550,6,6,30
101,360,1,102,9,559,4,4,90
102,360,1,103,5,564,2,2,50
103,360,1,104,3,567,5,5,30
104,360,1,105,2,569,1,1,20
105,360,1,106,8,577,3,3,80
106,360,1,107,7,584,2,2,70
107,360,1,108,8,592,6,6,80
108,360,1,109,3,595,1,1,30
109,360,1,110,5,600,5,5,50
110,360,1,111,8,608,4,4,80
111,360,1,112,3,611,0,0,30
112,360,1,113,9,620,5,5,90
113,360,1,114,9,629,2,2,90
114,360,1,115,2,631,1,1,20
115,360,1,116,6,637,2,2,60
116,360,1,117,9,646,3,3,90
117,360,1,118,6,652,5,5,60
118,360,1,119,6,658,6,6,60
119,360,1,120,6,664,4,3,60
120,360,1,121,7,671,6,6,70
121,360,1,122,4,675,0,0,40
122,360,1,123,9,684,4,4,90
123,360,1,124,2,686,0,0,20
124,360,1,125,3,689,0,0,30
125,360,1,126,9,698,5,5,90
126,360,1,127,8,706,3,3,80
127,360,1,128,3,709,4,4,30
128,360,1,129,4,713,3,3,40
129,360,1,130,7,720,3,3,70
130,360,1,131,2,722,2,2,20
131,360,1,132,9,731,5,5,90
132,360,1,133,6,737,5,5,60
133,360,1,134,9,746,8,8,90
134,360,1,135,7,753,7,7,70
135,360,1,136,2,755,2,1,20
136,360,1,137,5,760,3,3,50
137,360,1,138,7,767,1,1,70
138,360,1,139,9,776,5,4,90
139,360,1,140,5,781,4,3,50
140,360,1,141,8,789,1,1,80
141,360,1,142,5,794,2,1,50
142,360,1,143,3,797,2,2,30
143,360,1,144,7,804,4,4,70
144,360,1,145,7,811,4,4,70
145,360,1,146,7,818,3,3,70
146,360,1,147,3,821,2,2,30
147,360,1,148,2,823,0,0,20
148,360,1,149,3,826,1,1,30
149,360,1,150,5,831,5,3,50
150,360,1,151,7,838,4,4,70
151,360,1,152,9,847,5,5,90
152,360,1,153,3,850,1,1,30
153,360,1,154,9,859,4,4,90
154,360,1,155,7,866,2,2,70
155,360,1,156,5,871,2,2,50
156,360,1,157,5,876,5,5,50
157,360,1,158,3,879,1,1,30
158,360,1,159,6,885,1,1,60
159,360,1,160,5,890,5,5,50
160,360,1,161,8,898,2,2,80
161,360,1,162,5,903,5,5,50
162,360,1,163,3,906,1,1,30
163,360,1,164,5,911,3,3,50
164,360,1,165,4,915,1,1,40
165,360,1,166,3,918,0,0,30
166,360,1,167,5,923,1,1,50
167,360,1,168,8,931,5,5,80
168,360,1,169,3,934,1,1,30
169,360,1,170,8,942,5,5,80
170,360,1,171,9,951,5,5,90
171,360,1,172,8,959,4,4,80
172,360,1,173,6,965,2,2,60
173,360,1,174,2,967,1,1,20
174,360,1,175,7,974,6,6,70
