,Scenario,Trial,Inspection,Interval,Time,Accumulation,Defects,Rate
0,151,1,1,3,3,0,0,30
1,151,1,2,2,5,1,0,20
2,151,1,3,6,11,4,2,60
3,151,1,4,2,13,3,2,20
4,151,1,5,2,15,3,1,20
5,151,1,6,3,18,4,3,30
6,151,1,7,7,25,4,4,70
7,151,1,8,7,32,3,3,70
8,151,1,9,8,40,3,3,80
9,151,1,10,6,46,2,1,60
10,151,1,11,3,49,4,3,30
11,151,1,12,7,56,3,3,70
12,151,1,13,9,65,2,2,90
13,151,1,14,3,68,1,0,30
14,151,1,15,5,73,3,1,50
15,151,1,16,4,77,4,3,40
16,151,1,17,5,82,2,1,50
17,151,1,18,5,87,4,3,50
18,151,1,19,6,93,4,4,60
19,151,1,20,6,99,7,7,60
20,151,1,21,2,101,2,2,20
21,151,1,22,6,107,2,2,60
22,151,1,23,6,113,2,1,60
23,151,1,24,4,117,3,2,40
24,151,1,25,7,124,8,6,70
25,151,1,26,6,130,3,2,60
26,151,1,27,2,132,3,2,20
27,151,1,28,4,136,1,0,40
28,151,1,29,5,141,3,3,50
29,151,1,30,3,144,1,0,30
30,151,1,31,5,149,5,5,50
31,151,1,32,3,152,1,0,30
32,151,1,33,5,157,6,4,50
33,151,1,34,9,166,7,5,90
34,151,1,35,8,174,7,7,80
35,151,1,36,5,179,3,1,50
36,151,1,37,2,181,3,3,20
37,151,1,38,6,187,4,4,60
38,151,1,39,6,193,3,3,60
39,151,1,40,9,202,3,2,90
40,151,1,41,6,208,5,5,60
41,151,1,42,4,212,1,1,40
42,151,1,43,8,220,1,0,80
43,151,1,44,8,228,11,8,80
44,151,1,45,7,235,8,6,70
45,151,1,46,9,244,8,7,90
46,151,1,47,9,253,8,7,90
47,151,1,48,4,257,3,2,40
48,151,1,49,2,259,2,1,20
49,151,1,50,2,261,3,2,20
50,151,1,51,6,267,4,3,60
51,151,1,52,7,274,7,6,70
52,151,1,53,5,279,4,4,50
53,151,1,54,5,284,1,1,50
54,151,1,55,3,287,0,0,30
55,151,1,56,9,296,7,6,90
56,151,1,57,3,299,3,3,30
57,151,1,58,2,301,0,0,20
58,151,1,59,6,307,3,3,60
59,151,1,60,3,310,4,3,30
60,151,1,61,9,319,2,1,90
61,151,1,62,4,323,1,0,40
62,151,1,63,9,332,11,11,90
63,151,1,64,2,334,1,1,20
64,151,1,65,8,342,2,2,80
65,151,1,66,6,348,5,5,60
66,151,1,67,8,356,4,3,80
67,151,1,68,9,365,2,2,90
68,151,1,69,9,374,4,3,90
69,151,1,70,9,383,4,3,90
70,151,1,71,2,385,3,1,20
71,151,1,72,7,392,9,9,70
72,151,1,73,3,395,0,0,30
73,151,1,74,8,403,2,2,80
74,151,1,75,2,405,1,0,20
75,151,1,76,3,408,1,1,30
76,151,1,77,2,410,1,1,20
77,151,1,78,4,414,2,1,40
78,151,1,79,4,418,5,5,40
79,151,1,80,6,424,4,3,60
80,151,1,81,8,432,6,5,80
81,151,1,82,8,440,6,6,80
82,151,1,83,2,442,0,0,20
83,151,1,84,5,447,1,1,50
84,151,1,85,6,453,2,1,60
85,151,1,86,3,456,3,3,30
86,151,1,87,7,463,3,3,70
87,151,1,88,4,467,4,4,40
88,151,1,89,2,469,1,0,20
89,151,1,90,5,474,4,3,50
90,151,1,91,7,481,4,4,70
91,151,1,92,7,488,3,2,70
92,151,1,93,3,491,2,2,30
93,151,1,94,2,493,0,0,20
94,151,1,95,2,495,1,0,20
95,151,1,96,7,502,4,4,70
96,151,1,97,7,509,5,4,70
97,151,1,98,8,517,7,2,80
98,151,1,99,9,526,11,8,90
99,151,1,100,4,530,4,3,40
100,151,1,101,5,535,4,3,50
101,151,1,102,9,544,3,1,90
102,151,1,103,3,547,4,4,30
103,151,1,104,3,550,0,0,30
104,151,1,105,9,559,3,2,90
105,151,1,106,9,568,7,7,90
106,151,1,107,2,570,2,2,20
107,151,1,108,5,575,1,0,50
108,151,1,109,5,580,4,4,50
109,151,1,110,7,587,7,6,70
110,151,1,111,9,596,7,7,90
111,151,1,112,9,605,6,6,90
112,151,1,113,7,612,1,0,70
113,151,1,114,4,616,3,3,40
114,151,1,115,4,620,1,0,40
115,151,1,116,7,627,5,5,70
116,151,1,117,4,631,0,0,40
117,151,1,118,2,633,0,0,20
118,151,1,119,9,642,3,2,90
119,151,1,120,6,648,3,2,60
120,151,1,121,4,652,2,1,40
121,151,1,122,4,656,3,1,40
122,151,1,123,2,658,4,4,20
123,151,1,124,8,666,3,2,80
124,151,1,125,6,672,3,3,60
125,151,1,126,9,681,4,4,90
126,151,1,127,7,688,6,5,70
127,151,1,128,8,696,2,1,80
128,151,1,129,9,705,4,3,90
129,151,1,130,5,710,3,1,50
130,151,1,131,6,716,8,6,60
131,151,1,132,3,719,4,2,30
132,151,1,133,7,726,5,5,70
133,151,1,134,5,731,5,5,50
134,151,1,135,5,736,2,1,50
135,151,1,136,6,742,3,2,60
136,151,1,137,2,744,4,3,20
137,151,1,138,5,749,5,3,50
138,151,1,139,2,751,3,2,20
139,151,1,140,5,756,2,1,50
140,151,1,141,9,765,5,5,90
141,151,1,142,3,768,2,2,30
142,151,1,143,8,776,4,3,80
143,151,1,144,6,782,7,7,60
144,151,1,145,7,789,3,1,70
145,151,1,146,7,796,9,6,70
146,151,1,147,2,798,4,3,20
147,151,1,148,9,807,5,4,90
148,151,1,149,3,810,2,2,30
149,151,1,150,8,818,3,1,80
150,151,1,151,8,826,5,3,80
151,151,1,152,2,828,3,3,20
152,151,1,153,7,835,7,7,70
153,151,1,154,4,839,1,0,40
154,151,1,155,2,841,2,1,20
155,151,1,156,7,848,6,3,70
156,151,1,157,2,850,4,2,20
157,151,1,158,5,855,7,6,50
158,151,1,159,6,861,2,2,60
159,151,1,160,5,866,3,3,50
160,151,1,161,9,875,4,4,90
161,151,1,162,6,881,2,1,60
162,151,1,163,3,884,1,0,30
163,151,1,164,4,888,1,0,40
164,151,1,165,5,893,3,2,50
165,151,1,166,8,901,9,9,80
166,151,1,167,9,910,5,4,90
167,151,1,168,3,913,5,5,30
168,151,1,169,2,915,1,0,20
169,151,1,170,4,919,4,2,40
170,151,1,171,8,927,5,5,80
171,151,1,172,3,930,0,0,30
172,151,1,173,8,938,5,4,80
173,151,1,174,6,944,5,3,60
174,151,1,175,7,951,5,5,70
175,151,1,176,3,954,2,1,30
176,151,1,177,6,960,5,5,60
177,151,1,178,9,969,3,3,90
178,151,1,179,5,974,1,1,50
179,151,1,180,5,979,6,6,50
180,151,1,181,4,983,5,5,40
181,151,1,182,9,992,5,4,90
182,151,1,183,7,999,5,3,70
183,151,1,184,7,1006,9,8,70
184,151,1,185,7,1013,3,2,70
185,151,1,186,9,1022,8,7,90
186,151,1,187,7,1029,3,1,70
187,151,1,188,2,1031,4,3,20
188,151,1,189,2,1033,2,2,20
189,151,1,190,5,1038,4,3,50
190,151,1,191,5,1043,3,3,50
191,151,1,192,3,1046,2,1,30
192,151,1,193,4,1050,2,1,40
193,151,1,194,8,1058,7,4,80
194,151,1,195,2,1060,6,6,20
195,151,1,196,3,1063,1,1,30
196,151,1,197,7,1070,7,6,70
197,151,1,198,2,1072,3,3,20
198,151,1,199,6,1078,3,3,60
199,151,1,200,7,1085,4,4,70
200,151,1,201,6,1091,4,4,60
201,151,1,202,2,1093,2,0,20
202,151,1,203,9,1102,3,2,90
203,151,1,204,4,1106,4,4,40
204,151,1,205,5,1111,1,1,50
205,151,1,206,3,1114,1,0,30
206,151,1,207,3,1117,3,3,30
207,151,1,208,5,1122,5,5,50
208,151,1,209,7,1129,3,2,70
209,151,1,210,5,1134,3,1,50
210,151,1,211,5,1139,4,3,50
211,151,1,212,7,1146,3,2,70
212,151,1,213,9,1155,4,4,90
213,151,1,214,5,1160,4,4,50
214,151,1,215,7,1167,2,2,70
215,151,1,216,7,1174,3,2,70
216,151,1,217,5,1179,6,4,50
217,151,1,218,4,1183,3,2,40
218,151,1,219,4,1187,2,1,40
219,151,1,220,9,1196,4,4,90
220,151,1,221,2,1198,0,0,20
221,151,1,222,2,1200,2,2,20
222,151,1,223,4,1204,1,1,40
223,151,1,224,5,1209,5,5,50
224,151,1,225,6,1215,5,5,60
225,151,1,226,3,1218,2,1,30
226,151,1,227,3,1221,2,2,30
227,151,1,228,7,1228,2,1,70
228,151,1,229,3,1231,3,2,30
229,151,1,230,6,1237,3,2,60
230,151,1,231,6,1243,4,3,60
231,151,1,232,2,1245,3,3,20
232,151,1,233,4,1249,3,3,40
233,151,1,234,7,1256,4,4,70
234,151,1,235,4,1260,3,3,40
235,151,1,236,8,1268,4,3,80
236,151,1,237,2,1270,1,0,20
237,151,1,238,8,1278,4,4,80
238,151,1,239,3,1281,1,1,30
239,151,1,240,7,1288,3,2,70
240,151,1,241,3,1291,2,2,30
241,151,1,242,5,1296,0,0,50
242,151,1,243,6,1302,5,5,60
243,151,1,244,5,1307,3,2,50
244,151,1,245,2,1309,2,1,20
245,151,1,246,9,1318,5,5,90
246,151,1,247,7,1325,3,2,70
247,151,1,248,9,1334,4,2,90
248,151,1,249,5,1339,5,3,50
249,151,1,250,7,1346,3,3,70
250,151,1,251,8,1354,6,5,80
251,151,1,252,2,1356,2,1,20
252,151,1,253,6,1362,3,3,60
253,151,1,254,6,1368,4,3,60
254,151,1,255,5,1373,3,2,50
255,151,1,256,8,1381,6,6,80
256,151,1,257,3,1384,3,1,30
257,151,1,258,5,1389,4,4,50
258,151,1,259,8,1397,3,2,80
259,151,1,260,4,1401,3,2,40
260,151,1,261,3,1404,4,3,30
261,151,1,262,2,1406,2,1,20
262,151,1,263,6,1412,5,3,60
263,151,1,264,7,1419,4,3,70
264,151,1,265,9,1428,3,3,90
265,151,1,266,5,1433,5,5,50
266,151,1,267,4,1437,1,1,40
267,151,1,268,3,1440,3,2,30
268,151,1,269,9,1449,5,4,90
269,151,1,270,4,1453,2,1,40
270,151,1,271,7,1460,3,2,70
271,151,1,272,4,1464,4,3,40
272,151,1,273,6,1470,2,2,60
273,151,1,274,9,1479,8,8,90
274,151,1,275,3,1482,1,1,30
275,151,1,276,5,1487,3,2,50
276,151,1,277,6,1493,5,4,60
277,151,1,278,7,1500,5,3,70
278,151,1,279,3,1503,4,4,30
279,151,1,280,8,1511,6,5,80
280,151,1,281,8,1519,8,8,80
281,151,1,282,9,1528,8,8,90
282,151,1,283,4,1532,1,0,40
283,151,1,284,5,1537,3,2,50
