,Scenario,Trial,Inspection,Interval,Time,Accumulation,Defects,Rate
0,43,1,1,8,8,3,1,80
1,43,1,2,5,13,7,1,50
2,43,1,3,9,22,9,1,90
3,43,1,4,7,29,14,2,70
4,43,1,5,9,38,17,3,90
5,43,1,6,2,40,14,4,20
6,43,1,7,2,42,10,3,20
7,43,1,8,4,46,9,9,40
8,43,1,9,6,52,2,2,60
9,43,1,10,5,57,3,0,50
10,43,1,11,6,63,5,2,60
11,43,1,12,5,68,6,2,50
12,43,1,13,8,76,6,2,80
13,43,1,14,2,78,4,4,20
14,43,1,15,4,82,3,0,40
15,43,1,16,3,85,5,1,30
16,43,1,17,8,93,7,7,80
17,43,1,18,3,96,0,0,30
18,43,1,19,7,103,2,0,70
19,43,1,20,4,107,5,1,40
20,43,1,21,6,113,8,3,60
21,43,1,22,2,115,6,2,20
22,43,1,23,5,120,6,1,50
23,43,1,24,5,125,6,1,50
24,43,1,25,6,131,8,2,60
25,43,1,26,7,138,9,1,70
26,43,1,27,8,146,15,8,80
27,43,1,28,6,152,8,1,60
28,43,1,29,6,158,9,9,60
29,43,1,30,5,163,2,2,50
30,43,1,31,9,172,5,2,90
31,43,1,32,7,179,8,2,70
32,43,1,33,8,187,14,4,80
33,43,1,34,8,195,15,4,80
34,43,1,35,2,197,11,11,20
35,43,1,36,3,200,5,0,30
36,43,1,37,9,209,6,2,90
37,43,1,38,7,216,12,3,70
38,43,1,39,3,219,9,1,30
39,43,1,40,4,223,10,3,40
40,43,1,41,7,230,12,4,70
41,43,1,42,8,238,13,5,80
42,43,1,43,7,245,11,1,70
43,43,1,44,2,247,11,4,20
44,43,1,45,7,254,13,3,70
45,43,1,46,7,261,15,4,70
46,43,1,47,7,268,14,14,70
47,43,1,48,4,272,2,2,40
48,43,1,49,7,279,2,0,70
49,43,1,50,4,283,3,0,40
50,43,1,51,5,288,4,4,50
51,43,1,52,5,293,1,0,50
52,43,1,53,9,302,7,1,90
53,43,1,54,4,306,9,2,40
54,43,1,55,6,312,11,3,60
55,43,1,56,5,317,15,2,50
56,43,1,57,5,322,13,3,50
57,43,1,58,4,326,12,2,40
58,43,1,59,8,334,15,6,80
59,43,1,60,9,343,12,3,90
60,43,1,61,9,352,12,2,90
61,43,1,62,8,360,15,4,80
62,43,1,63,3,363,12,3,30
63,43,1,64,5,368,13,1,50
64,43,1,65,5,373,16,5,50
65,43,1,66,3,376,13,4,30
66,43,1,67,3,379,11,2,30
67,43,1,68,6,385,11,5,60
68,43,1,69,4,389,7,7,40
69,43,1,70,3,392,0,0,30
70,43,1,71,3,395,1,0,30
71,43,1,72,7,402,5,5,70
72,43,1,73,8,410,5,1,80
73,43,1,74,7,417,9,3,70
74,43,1,75,7,424,13,2,70
75,43,1,76,5,429,12,4,50
76,43,1,77,8,437,13,2,80
77,43,1,78,4,441,14,3,40
78,43,1,79,8,449,15,15,80
79,43,1,80,8,457,6,1,80
80,43,1,81,9,466,8,2,90
81,43,1,82,8,474,12,1,80
82,43,1,83,5,479,14,14,50
83,43,1,84,5,484,3,1,50
84,43,1,85,4,488,2,0,40
85,43,1,86,6,494,6,1,60
86,43,1,87,6,500,7,2,60
87,43,1,88,9,509,11,3,90
88,43,1,89,5,514,9,2,50
89,43,1,90,5,519,10,10,50
90,43,1,91,8,527,2,0,80
91,43,1,92,9,536,6,1,90
92,43,1,93,7,543,7,7,70
93,43,1,94,6,549,0,0,60
94,43,1,95,5,554,2,1,50
95,43,1,96,4,558,3,0,40
96,43,1,97,7,565,10,2,70
97,43,1,98,7,572,11,1,70
98,43,1,99,9,581,11,2,90
99,43,1,100,3,584,9,2,30
100,43,1,101,8,592,9,3,80
101,43,1,102,9,601,12,4,90
102,43,1,103,3,604,11,11,30
103,43,1,104,8,612,3,0,80
104,43,1,105,9,621,6,1,90
105,43,1,106,9,630,9,2,90
106,43,1,107,8,638,11,2,80
107,43,1,108,4,642,14,2,40
108,43,1,109,8,650,17,5,80
109,43,1,110,7,657,17,2,70
110,43,1,111,5,662,16,5,50
111,43,1,112,9,671,17,3,90
112,43,1,113,5,676,19,4,50
113,43,1,114,4,680,15,3,40
114,43,1,115,4,684,15,15,40
115,43,1,116,3,687,0,0,30
116,43,1,117,9,696,3,1,90
117,43,1,118,2,698,2,0,20
118,43,1,119,4,702,3,1,40
119,43,1,120,2,704,5,1,20
120,43,1,121,7,711,10,4,70
121,43,1,122,2,713,7,3,20
122,43,1,123,5,718,7,0,50
123,43,1,124,7,725,8,0,70
124,43,1,125,6,731,10,2,60
125,43,1,126,6,737,11,3,60
126,43,1,127,3,740,10,2,30
127,43,1,128,2,742,8,1,20
128,43,1,129,3,745,10,3,30
